,Open,High,Low,Close
2019-05-20,3.8881,3.8966,3.8881,3.8923
2019-05-21,4.0088,4.02,3.9961,4.0113
2019-05-22,3.8981,3.9059,3.8981,3.8986
2019-05-23,3.8891,3.9001,3.8891,3.9059
2019-05-24,4.0207,4.0263,4.0106,4.0107
2019-05-27,3.8938,3.901,3.8938,3.8945
2019-05-28,3.9081,3.9107,3.9081,3.9093
2019-05-29,3.916,3.916,3.9135,3.9107
2019-05-30,3.916,3.9194,3.916,3.9135
2019-05-31,4.0278,4.0404,4.0214,4.0274
2019-06-03,3.8793,3.8989,3.8793,3.9008
2019-06-04,3.9004,3.9004,3.8819,3.8989
2019-06-05,3.892,3.892,3.8837,3.8896
2019-06-06,3.8697,3.897,3.8697,3.8837
2019-06-07,3.9929,4.0199,3.9883,4.0044
2019-06-10,3.8916,3.8916,3.891,3.895
2019-06-11,3.8874,3.9011,3.8874,3.891
2019-06-12,3.9094,3.9094,3.907,3.9011
2019-06-13,3.9101,3.9128,3.9101,3.907
2019-06-14,4.0241,4.0317,4.0177,4.0268
2019-06-17,3.9075,3.9077,3.9075,3.9102
2019-06-18,3.9077,3.9077,3.8899,3.9077
2019-06-19,3.8801,3.8801,3.8537,3.8899
2019-06-20,3.8585,3.8589,3.8585,3.8537
2019-06-21,3.9582,3.9878,3.9497,3.9661
2019-06-24,3.8566,3.8687,3.8559,3.8567
2019-06-25,3.8708,3.8708,3.8627,3.8687
2019-06-26,3.8591,3.8644,3.8591,3.8627
2019-06-27,3.8646,3.8646,3.8545,3.8644
2019-06-28,3.9666,3.982,3.9529,3.9686
2019-07-01,3.8701,3.8747,3.8635,3.8682
2019-07-02,3.8673,3.8741,3.8673,3.8667
2019-07-03,3.8773,3.8855,3.8756,3.8741
2019-07-04,3.8771,3.8794,3.8771,3.8756
2019-07-05,3.991,4.0058,3.9853,4.0041
2019-07-08,3.884,3.884,3.8772,3.8831
2019-07-09,3.8764,3.8764,3.8659,3.8774
2019-07-10,3.8513,3.8517,3.8513,3.8659
2019-07-11,3.8604,3.8604,3.8596,3.8517
2019-07-12,3.9637,3.9817,3.9598,3.9729
2019-07-15,3.8602,3.8625,3.8602,3.8548
2019-07-16,3.8654,3.8654,3.8645,3.8625
2019-07-17,3.8609,3.8619,3.8609,3.8645
2019-07-18,3.8454,3.8633,3.8454,3.8619
2019-07-19,3.9583,3.9842,3.9539,3.9799
2019-07-22,3.8698,3.8698,3.8656,3.8645
2019-07-23,3.8752,3.8752,3.8623,3.8656
2019-07-24,3.8655,3.8655,3.861,3.8623
2019-07-25,3.8582,3.8611,3.8582,3.861
2019-07-26,3.9809,3.9853,3.9682,3.9764
2019-07-29,3.8545,3.8584,3.8545,3.8645
2019-07-30,3.8546,3.857,3.8546,3.8584
2019-07-31,3.883,3.883,3.8682,3.857
2019-08-01,3.8515,3.8993,3.8515,3.8682
2019-08-02,4.002,4.0309,3.9989,4.0232
2019-08-05,3.8925,3.9075,3.8925,3.92
2019-08-06,3.9055,3.9055,3.899,3.9075
2019-08-07,3.8936,3.8936,3.8827,3.899
2019-08-08,3.8873,3.8873,3.8872,3.8827
2019-08-09,3.9906,4.0103,3.9843,4.0009
2019-08-12,3.8899,3.9008,3.8899,3.8974
2019-08-13,3.915,3.915,3.8826,3.9008
2019-08-14,3.8957,3.8957,3.8935,3.8826
2019-08-15,3.9092,3.9092,3.878,3.8935
2019-08-16,3.9931,4.0086,3.9831,3.9962
2019-08-19,3.8897,3.8897,3.8826,3.8804
2019-08-20,3.8773,3.8855,3.8773,3.8826
2019-08-21,3.889,3.889,3.8877,3.8855
2019-08-22,3.8812,3.8827,3.8812,3.8877
2019-08-23,4.0055,4.0151,3.9894,4.0077
2019-08-26,3.8975,3.8975,3.8848,3.8917
2019-08-27,3.89,3.8905,3.89,3.8848
2019-08-28,3.8929,3.8929,3.8854,3.8905
2019-08-29,3.89,3.89,3.879,3.8854
2019-08-30,3.9952,4.0073,3.9789,3.9978
2019-09-02,3.8845,3.8855,3.8845,3.8823
2019-09-03,3.8725,3.8752,3.8725,3.8855
2019-09-04,3.8688,3.8701,3.8688,3.8752
2019-09-05,3.8779,3.8779,3.8673,3.8701
2019-09-06,3.9786,3.9947,3.9752,3.9835
2019-09-09,3.8572,3.8682,3.8572,3.8577
2019-09-10,3.8643,3.8643,3.8546,3.8682
2019-09-11,3.8541,3.8541,3.8303,3.8546
2019-09-12,3.8201,3.8295,3.8201,3.8303
2019-09-13,3.9527,3.9619,3.9407,3.9593
2019-09-16,3.8493,3.8493,3.8476,3.8351
2019-09-17,3.8303,3.8415,3.8303,3.8476
2019-09-18,3.8456,3.8456,3.8432,3.8415
2019-09-19,3.8491,3.8491,3.835,3.8432
2019-09-20,3.9633,3.9635,3.9412,3.9558
2019-09-23,3.8368,3.8405,3.8368,3.8416
2019-09-24,3.8316,3.8478,3.8316,3.8405
2019-09-25,3.8606,3.8606,3.842,3.8478
2019-09-26,3.8456,3.8456,3.841,3.842
2019-09-27,3.9531,3.9692,3.9471,3.9637
2019-09-30,3.8532,3.8581,3.8347,3.8539
2019-10-01,3.8298,3.8471,3.8285,3.8307
2019-10-02,3.8322,3.8365,3.8322,3.8315
2019-10-03,3.8296,3.8308,3.8296,3.8334
2019-10-04,3.9503,3.9579,3.9373,3.9441
2019-10-07,3.8249,3.8249,3.811,3.8201
2019-10-08,3.8215,3.8215,3.8085,3.811
2019-10-09,3.8076,3.8076,3.7992,3.8085
2019-10-10,3.8052,3.8052,3.7932,3.7992
2019-10-11,3.9075,3.9157,3.8927,3.9106
2019-10-14,3.78715,3.78899,3.78715,3.78685
2019-10-15,3.78195,3.7916,3.78195,3.78899
2019-10-16,3.77585,3.78496,3.77585,3.7916
2019-10-17,3.78419,3.78533,3.78419,3.78496
2019-10-18,3.9073,3.9095,3.8938,3.8995
2019-10-21,3.78455,3.78455,3.78439,3.78035
2019-10-22,3.78877,3.78877,3.7873,3.78439
2019-10-23,3.77982,3.78807,3.77982,3.7873
2019-10-24,3.79672,3.79672,3.78926,3.78807
2019-10-25,3.8993,3.9108,3.889,3.9057
2019-10-28,3.78127,3.78127,3.77715,3.781
2019-10-29,3.76925,3.7695,3.76925,3.77715
2019-10-30,3.75436,3.77527,3.75436,3.7695
2019-10-31,3.77398,3.77398,3.77334,3.77527
2019-11-01,3.8898,3.9002,3.8739,3.8897
2019-11-04,3.77719,3.77719,3.76375,3.76548
2019-11-05,3.78089,3.78089,3.7694,3.76375
2019-11-06,3.774,3.774,3.76297,3.7694
2019-11-07,3.77384,3.77384,3.76094,3.76297
2019-11-08,3.8681,3.8888,3.8646,3.8833
2019-11-11,3.76818,3.77552,3.76818,3.76807
2019-11-12,3.77651,3.7826,3.77651,3.77552
2019-11-13,3.78207,3.78523,3.78207,3.7826
2019-11-14,3.77344,3.78475,3.77344,3.78523
2019-11-15,3.892,3.9078,3.8885,3.9025
2019-11-18,3.77697,3.77999,3.77697,3.77919
2019-11-19,3.78039,3.78736,3.78039,3.77999
2019-11-20,3.78132,3.78701,3.78132,3.78736
2019-11-21,3.79301,3.79301,3.78794,3.78701
2019-11-22,3.8991,3.9121,3.8937,3.9112
2019-11-25,3.78802,3.78802,3.78472,3.78587
2019-11-26,3.78308,3.7847,3.78308,3.78472
2019-11-27,3.78385,3.78385,3.77988,3.7847
2019-11-28,3.77657,3.78228,3.77657,3.77988
2019-11-29,3.8887,3.9059,3.8885,3.8997
2019-12-02,3.75905,3.7833,3.75905,3.78258
2019-12-03,3.78069,3.78069,3.77399,3.7833
2019-12-04,3.77124,3.77665,3.77124,3.77399
2019-12-05,3.77283,3.7755,3.77283,3.77665
2019-12-06,3.8909,3.9035,3.8862,3.8869
2019-12-09,3.78349,3.78349,3.77734,3.78077
2019-12-10,3.774,3.78598,3.774,3.77734
2019-12-11,3.76734,3.77169,3.76734,3.78598
2019-12-12,3.75845,3.75997,3.75845,3.77169
2019-12-13,3.8526,3.888,3.8526,3.88
2019-12-16,3.75553,3.75643,3.75335,3.75411
2019-12-17,3.75897,3.75897,3.75609,3.75627
2019-12-18,3.75977,3.75977,3.75356,3.75609
2019-12-19,3.75722,3.75722,3.75439,3.75356
2019-12-20,3.8691,3.8769,3.8506,3.8688
2019-12-23,3.75207,3.75393,3.75207,3.75551
2019-12-24,3.75045,3.75045,3.75045,3.75393
2019-12-25,3.74733,3.74733,3.74733,3.75045
2019-12-26,3.7436,3.75393,3.7436,3.74733
2019-12-27,3.869,3.8734,3.8557,3.8696
