,Open,High,Low,Close,open,high,low,close,RSI,MACD,MACD_signal,ATR,STOCH_K,STOCH_D,BB_upper,BB_middle,BB_lower,momentum,volatility,return_1,return_2,return_3,return_5,return_10
2018-08-09,20.548,20.549,20.245,20.248,,,,,,,,,,,,,,,,,,,,
2018-08-10,20.236,20.353,20.199,20.23,,,,,,,,,,,,,,,,,,,,
2018-08-13,20.276,20.342,20.204,20.326,,,,,,,,,,,,,,,,,,,,
2018-08-14,20.331,20.394,20.224,20.255,,,,,,,,,,,,,,,,,,,,
2018-08-15,20.255,20.299,20.19,20.254,,,,,,,,,,,,,,,,,,,,
2018-08-16,20.258,20.36,20.22,20.281,,,,,,,,,,,,,,,,,,,,
2018-08-17,20.279,20.414,20.244,20.412,,,,,,,,,,,,,,,,,,,,
2018-08-20,20.39,20.486,20.299,20.439,,,,,,,,,,,,,,,,,,,,
2018-08-21,20.441,20.585,20.395,20.585,,,,,,,,,,,,,,,,,,,,
2018-08-22,20.588,20.641,20.531,20.565,,,,,,,,,,,,,,,,,,,,
2018-08-23,20.569,20.608,20.439,20.466,,,,,,,,,,,,,,,,,,,,
2018-08-24,20.466,20.563,20.415,20.515,,,,,,,,,,,,,,,,,,,,
2018-08-27,20.549,20.589,20.502,20.575,,,,,,,,,,,,,,,,,,,,
2018-08-28,20.583,20.651,20.514,20.553,,,,,,,,,,,,,,,,,,,,
2018-08-29,20.55,20.642,20.536,20.572,,,,,,,,,,,,,,,,,,,,
2018-08-30,20.574,20.618,20.39,20.437,,,,,,,,,,,,,,,,,,,,
2018-08-31,20.438,20.469,20.274,20.341,,,,,,,,,,,,,,,,,,,,
2018-09-03,20.304,20.37,20.257,20.314,,,,,,,,,,,,,,,,,,,,
2018-09-04,20.317,20.323,20.132,20.143,,,,,,,,,,,,,,,,,,,,
2018-09-05,20.142,20.329,20.115,20.276,,,,,,,,,,,,,,,,,,,,
2018-09-06,20.277,20.378,20.232,20.315,,,,,,,,,,,,,,,,,,,,
2018-09-07,20.312,20.316,20.12,20.134,,,,,,,,,,,,,,,,,,,,
2018-09-10,20.141,20.21,20.06,20.108,,,,,,,,,,,,,,,,,,,,
2018-09-11,20.119,20.158,20.043,20.071,,,,,,,,,,,,,,,,,,,,
2018-09-12,20.071,20.2,20.041,20.171,,,,,,,,,,,,,,,,,,,,
2018-09-13,20.182,20.278,20.153,20.23,,,,,,,,,,,,,,,,,,,,
2018-09-14,20.221,20.298,20.132,20.132,,,,,,,,,,,,,,,,,,,,
2018-09-17,20.148,20.332,20.134,20.277,,,,,,,,,,,,,,,,,,,,
2018-09-18,20.272,20.36,20.228,20.28,,,,,,,,,,,,,,,,,,,,
2018-09-19,20.281,20.388,20.221,20.363,,,,,,,,,,,,,,,,,,,,
2018-09-20,20.364,20.576,20.364,20.565,,,,,,,,,,,,,,,,,,,,
2018-09-21,20.564,20.583,20.408,20.498,,,,,,,,,,,,,,,,,,,,
2018-09-24,20.464,20.516,20.362,20.369,,,,,,,,,,,,,,,,,,,,
2018-09-25,20.375,20.455,20.332,20.338,,,,,,,,,,,,,,,,,,,,
2018-09-26,20.389,20.514,20.339,20.404,,,,,,,,,,,,,,,,,,,,
2018-09-27,20.45,20.45,20.181,20.202,,,,,,,,,,,,,,,,,,,,
2018-09-28,20.198,20.248,20.131,20.177,,,,,,,,,,,,,,,,,,,,
2018-10-01,20.204,20.241,20.12,20.134,,,,,,,,,,,,,,,,,,,,
2018-10-02,20.172,20.276,20.13,20.221,,,,,,,,,,,,,,,,,,,,
2018-10-03,20.207,20.232,20.02,20.058,,,,,,,,,,,,,,,,,,,,
2018-10-04,20.033,20.086,19.958,19.999,,,,,,,,,,,,,,,,,,,,
2018-10-05,19.999,20.05,19.889,19.936,,,,,,,,,,,,,,,,,,,,
2018-10-08,19.932,20.029,19.828,20.005,,,,,,,,,,,,,,,,,,,,
2018-10-09,19.998,20.087,19.925,20.068,,,,,,,,,,,,,,,,,,,,
2018-10-10,20.074,20.139,20.006,20.115,,,,,,,,,,,,,,,,,,,,
2018-10-11,20.121,20.269,20.075,20.231,,,,,,,,,,,,,,,,,,,,
2018-10-12,20.233,20.278,20.07,20.094,,,,,,,,,,,,,,,,,,,,
2018-10-15,20.085,20.36,20.074,20.316,,,,,,,,,,,,,,,,,,,,
2018-10-16,20.309,20.343,20.239,20.24,,,,,,,,,,,,,,,,,,,,
2018-10-17,20.242,20.371,20.16,20.172,,,,,,,,,,,,,,,,,,,,
2018-10-18,20.173,20.379,20.153,20.25,,,,,,,,,,,,,,,,,,,,
2018-10-19,20.251,20.422,20.23,20.394,,,,,,,,,,,,,,,,,,,,
2018-10-22,20.377,20.415,20.241,20.248,,,,,,,,,,,,,,,,,,,,
2018-10-23,20.249,20.359,20.225,20.268,,,,,,,,,,,,,,,,,,,,
2018-10-24,20.256,20.329,20.168,20.186,,,,,,,,,,,,,,,,,,,,
2018-10-25,20.184,20.274,20.124,20.198,,,,,,,,,,,,,,,,,,,,
2018-10-26,20.196,20.249,20.054,20.222,,,,,,,,,,,,,,,,,,,,
2018-10-29,20.226,20.327,20.182,20.212,,,,,,,,,,,,,,,,,,,,
2018-10-30,20.209,20.365,20.19,20.306,,,,,,,,,,,,,,,,,,,,
2018-10-31,20.316,20.354,20.161,20.219,,,,,,,,,,,,,,,,,,,,
2018-11-01,20.213,20.504,20.198,20.406,,,,,,,,,,,,,,,,,,,,
2018-11-02,20.403,20.515,20.309,20.394,,,,,,,,,,,,,,,,,,,,
2018-11-05,20.345,20.511,20.345,20.485,,,,,,,,,,,,,,,,,,,,
2018-11-06,20.486,20.767,20.442,20.688,,,,,,,,,,,,,,,,,,,,
2018-11-07,20.686,20.835,20.651,20.758,,,,,,,,,,,,,,,,,,,,
2018-11-08,20.756,20.867,20.704,20.729,,,,,,,,,,,,,,,,,,,,
2018-11-09,20.708,20.826,20.68,20.754,,,,,,,,,,,,,,,,,,,,
2018-11-12,20.731,20.864,20.691,20.723,,,,,,,,,,,,,,,,,,,,
2018-11-13,20.718,20.921,20.718,20.852,,,,,,,,,,,,,,,,,,,,
2018-11-14,20.849,21.047,20.849,20.941,,,,,,,,,,,,,,,,,,,,
2018-11-15,20.927,21.081,20.886,21.054,,,,,,,,,,,,,,,,,,,,
2018-11-16,21.057,21.212,21.006,21.171,,,,,,,,,,,,,,,,,,,,
2018-11-19,21.165,21.226,21.06,21.152,,,,,,,,,,,,,,,,,,,,
2018-11-20,21.154,21.264,21.011,21.018,,,,,,,,,,,,,,,,,,,,
2018-11-21,21.019,21.149,20.989,21.085,,,,,,,,,,,,,,,,,,,,
2018-11-22,21.082,21.112,20.984,21.013,,,,,,,,,,,,,,,,,,,,
2018-11-23,20.999,21.105,20.931,21.003,,,,,,,,,,,,,,,,,,,,
2018-11-26,20.945,21.054,20.893,20.928,,,,,,,,,,,,,,,,,,,,
2018-11-27,20.919,21.049,20.857,21.012,,,,,,,,,,,,,,,,,,,,
2018-11-28,21.012,21.237,20.955,21.154,,,,,,,,,,,,,,,,,,,,
2018-11-29,21.143,21.224,21.058,21.058,,,,,,,,,,,,,,,,,,,,
2018-11-30,21.055,21.254,21.044,21.223,,,,,,,,,,,,,,,,,,,,
2018-12-03,21.326,21.337,21.21,21.223,,,,,,,,,,,,,,,,,,,,
