,Open,High,Low,Close
2022-11-10,4.4145,4.4153,4.3718,4.3718
2022-11-11,4.3718,4.4288,4.3706,4.3789
2022-11-14,4.383,4.417,4.3772,4.3809
2022-11-15,4.3795,4.4267,4.3658,4.4191
2022-11-16,4.4258,4.4265,4.3877,4.3974
2022-11-17,4.3929,4.4008,4.352,4.352
2022-11-18,4.3563,4.3835,4.3441,4.3761
2022-11-21,4.3665,4.3778,4.3545,4.3609
2022-11-22,4.3651,4.376,4.3555,4.3638
2022-11-23,4.3634,4.3723,4.35,4.3545
2022-11-24,4.3559,4.3564,4.3219,4.3219
2022-11-25,4.3203,4.3247,4.3014,4.3197
2022-11-28,4.3229,4.3356,4.2901,4.3041
2022-11-29,4.3069,4.3349,4.2993,4.3267
2022-11-30,4.3309,4.3716,4.3165,4.3492
2022-12-01,4.3404,4.3547,4.3235,4.3494
2022-12-02,4.3453,4.3678,4.3254,4.3589
2022-12-05,4.3566,4.4004,4.345,4.3991
2022-12-06,4.399,4.399,4.3801,4.3837
2022-12-07,4.3847,4.4039,4.3831,4.3916
2022-12-08,4.3981,4.4091,4.3922,4.4021
2022-12-09,4.4034,4.4202,4.3985,4.4164
2022-12-12,4.4185,4.4185,4.3944,4.4058
2022-12-13,4.4056,4.4143,4.3828,4.4113
2022-12-14,4.4134,4.4149,4.3878,4.4013
2022-12-15,4.389,4.4229,4.3887,4.4191
2022-12-16,4.4207,4.4276,4.4079,4.4185
2022-12-19,4.4216,4.4216,4.406,4.4157
2022-12-20,4.4157,4.426,4.4041,4.4207
2022-12-21,4.4204,4.4217,4.3954,4.3955
2022-12-22,4.3958,4.4105,4.3939,4.4085
2022-12-23,4.4094,4.4155,4.3973,4.4033
2022-12-26,4.3946,4.4206,4.3946,4.4175
2022-12-27,4.4191,4.4268,4.4118,4.4256
2022-12-28,4.4159,4.426,4.4056,4.4186
2022-12-29,4.413,4.4224,4.4054,4.4054
2022-12-30,4.411,4.4649,4.4094,4.4521
2023-01-02,4.448,4.4623,4.448,4.461
2023-01-03,4.4519,4.4707,4.4464,4.4498
2023-01-04,4.4479,4.4649,4.4398,4.4587
2023-01-05,4.459,4.4758,4.459,4.4698
2023-01-06,4.4707,4.4911,4.4559,4.4773
2023-01-09,4.5024,4.516,4.4943,4.5049
2023-01-10,4.5031,4.5118,4.4919,4.494
2023-01-11,4.4974,4.509,4.4885,4.4996
2023-01-12,4.5043,4.5259,4.4998,4.5063
2023-01-13,4.5088,4.5284,4.5057,4.5239
2023-01-16,4.529,4.5325,4.5073,4.5154
2023-01-17,4.5055,4.5055,4.4705,4.4729
2023-01-18,4.479,4.5057,4.4694,4.5057
2023-01-19,4.5043,4.5055,4.4788,4.4797
2023-01-20,4.4855,4.4889,4.475,4.4765
2023-01-23,4.4779,4.4796,4.4664,4.4748
2023-01-24,4.4748,4.4775,4.4598,4.4658
2023-01-25,4.4703,4.4744,4.4635,4.4647
2023-01-26,4.4642,4.4703,4.4588,4.461
2023-01-27,4.4599,4.4716,4.4493,4.4657
2023-01-30,4.4651,4.474,4.4515,4.4665
2023-01-31,4.4656,4.4656,4.4419,4.4529
2023-02-01,4.4554,4.4558,4.4086,4.4204
2023-02-02,4.4204,4.4354,4.407,4.4249
2023-02-03,4.4216,4.4354,4.4014,4.4307
2023-02-06,4.4321,4.4367,4.4149,4.4262
2023-02-07,4.4165,4.4435,4.415,4.427
2023-02-08,4.4164,4.4392,4.4164,4.4368
2023-02-09,4.4352,4.4494,4.4278,4.4451
2023-02-10,4.4477,4.4494,4.4301,4.438
2023-02-13,4.4343,4.4408,4.4262,4.4328
2023-02-14,4.4346,4.445,4.4283,4.4398
2023-02-15,4.4403,4.4462,4.4287,4.4356
2023-02-16,4.4381,4.4381,4.4185,4.4219
2023-02-17,4.4289,4.4357,4.4159,4.4303
2023-02-20,4.423,4.4417,4.4225,4.4379
2023-02-21,4.4325,4.4513,4.4241,4.4477
2023-02-22,4.44,4.4409,4.4255,4.4344
2023-02-23,4.4204,4.4289,4.404,4.4086
2023-02-24,4.4025,4.4172,4.3932,4.4119
2023-02-27,4.4078,4.4242,4.4078,4.4227
2023-02-28,4.4241,4.4423,4.4166,4.4359
2023-03-01,4.433,4.4594,4.4242,4.4571
2023-03-02,4.4577,4.4591,4.4366,4.4381
2023-03-03,4.4331,4.447,4.4205,4.4225
2023-03-06,4.43,4.4378,4.4145,4.4293
2023-03-07,4.4285,4.4308,4.4097,4.4273
2023-03-08,4.4283,4.4301,4.4112,4.4288
2023-03-09,4.4341,4.437,4.4206,4.4295
2023-03-10,4.4311,4.4695,4.4239,4.4612
2023-03-13,4.4603,4.4705,4.4375,4.461
2023-03-14,4.4554,4.4696,4.4362,4.4475
2023-03-15,4.4401,4.4673,4.4315,4.4355
2023-03-16,4.4518,4.4525,4.4302,4.4302
2023-03-17,4.431,4.4567,4.431,4.4534
2023-03-20,4.4193,4.4496,4.4193,4.444
2023-03-21,4.4368,4.451,4.4311,4.4343
2023-03-22,4.4389,4.4408,4.3962,4.4154
2023-03-23,4.411,4.4561,4.411,4.4537
2023-03-24,4.4556,4.4582,4.4196,4.4212
2023-03-27,4.4215,4.4327,4.4066,4.4139
2023-03-28,4.4091,4.425,4.4034,4.4205
2023-03-29,4.4205,4.4416,4.4172,4.4416
