,Open,High,Low,Close,open,high,low,close,RSI,MACD,MACD_signal,ATR,STOCH_K,STOCH_D,BB_upper,BB_middle,BB_lower,momentum,volatility,return_1,return_2,return_3,return_5,return_10
2016-01-20,22.895,22.895,22.713,22.739,,,,,,,,,,,,,,,,,,,,
2016-01-21,23.148,23.148,22.883,23.061,,,,,,,,,,,,,,,,,,,,
2016-01-22,23.536,23.606,23.417,23.449,,,,,,,,,,,,,,,,,,,,
2016-01-25,22.57,22.739,22.57,22.559,,,,,,,,,,,,,,,,,,,,
2016-01-26,22.856,23.015,22.856,22.723,,,,,,,,,,,,,,,,,,,,
2016-01-27,22.894,23.103,22.894,22.902,,,,,,,,,,,,,,,,,,,,
2016-01-28,23.117,23.117,23.044,23.096,,,,,,,,,,,,,,,,,,,,
2016-01-29,23.726,23.823,23.572,23.746,,,,,,,,,,,,,,,,,,,,
2016-02-01,23.01,23.01,22.975,23.05,,,,,,,,,,,,,,,,,,,,
2016-02-02,22.823,23.1,22.823,22.92,,,,,,,,,,,,,,,,,,,,
2016-02-03,23.018,23.243,23.018,23.037,,,,,,,,,,,,,,,,,,,,
2016-02-04,23.128,23.134,23.128,23.243,,,,,,,,,,,,,,,,,,,,
2016-02-05,23.823,23.91,23.442,23.472,,,,,,,,,,,,,,,,,,,,
2016-02-08,22.626,22.754,22.626,22.987,,,,,,,,,,,,,,,,,,,,
2016-02-09,22.701,22.86,22.701,22.774,,,,,,,,,,,,,,,,,,,,
2016-02-10,22.837,22.837,22.618,22.86,,,,,,,,,,,,,,,,,,,,
2016-02-11,22.834,22.834,22.819,22.843,,,,,,,,,,,,,,,,,,,,
2016-02-12,23.464,23.528,23.327,23.519,,,,,,,,,,,,,,,,,,,,
2016-02-15,23.143,23.143,23.105,23.026,,,,,,,,,,,,,,,,,,,,
2016-02-16,22.991,23.081,22.991,23.105,,,,,,,,,,,,,,,,,,,,
2016-02-17,23.19,23.19,23.142,23.298,,,,,,,,,,,,,,,,,,,,
2016-02-18,23.04,23.04,22.936,23.114,,,,,,,,,,,,,,,,,,,,
2016-02-19,23.716,23.79,23.51,23.79,,,,,,,,,,,,,,,,,,,,
2016-02-22,23.334,23.445,23.334,23.37,,,,,,,,,,,,,,,,,,,,
2016-02-23,23.265,23.265,23.24,23.445,,,,,,,,,,,,,,,,,,,,
