,Open,High,Low,Close
2020-06-03,1.7396,1.7737,1.7396,1.7635
2020-06-04,1.7643,1.775,1.7518,1.7655
2020-06-05,1.7679,1.7777,1.7561,1.7618
2020-06-08,1.7724,1.7822,1.7608,1.7794
2020-06-09,1.7714,1.7911,1.7621,1.7878
2020-06-10,1.7865,1.8,1.7758,1.79
2020-06-11,1.7915,1.7947,1.7198,1.7252
2020-06-12,1.7251,1.7498,1.7158,1.7444
2020-06-15,1.7255,1.7387,1.7119,1.7327
2020-06-16,1.7328,1.7536,1.7115,1.7197
2020-06-17,1.7114,1.734,1.7114,1.724
2020-06-18,1.7242,1.7251,1.6871,1.6944
2020-06-19,1.694,1.7127,1.6863,1.7067
2020-06-22,1.7003,1.7141,1.6969,1.7082
2020-06-23,1.7082,1.7201,1.6939,1.7155
2020-06-24,1.7075,1.7208,1.6878,1.6959
2020-06-25,1.696,1.7238,1.6856,1.7236
2020-06-26,1.7132,1.7242,1.7012,1.7152
2020-06-29,1.7085,1.7162,1.6991,1.7063
2020-06-30,1.7072,1.7094,1.6907,1.6958
2020-07-01,1.6962,1.7308,1.6851,1.7291
2020-07-02,1.7179,1.7463,1.7174,1.7339
2020-07-03,1.7339,1.7478,1.723,1.7343
2020-07-06,1.7268,1.7429,1.723,1.723
2020-07-07,1.7327,1.7372,1.7111,1.712
2020-07-08,1.7149,1.7413,1.7134,1.734
2020-07-09,1.7341,1.752,1.7318,1.7465
2020-07-10,1.7463,1.7615,1.7376,1.7569
2020-07-13,1.7535,1.7671,1.7408,1.7461
2020-07-14,1.746,1.7652,1.7441,1.7626
2020-07-15,1.7581,1.7878,1.7578,1.7693
2020-07-16,1.7699,1.7808,1.7515,1.757
2020-07-17,1.757,1.7725,1.7548,1.7654
2020-07-20,1.7665,1.7752,1.7584,1.7728
2020-07-21,1.7732,1.7985,1.7643,1.7926
2020-07-22,1.7945,1.7988,1.7782,1.7901
2020-07-23,1.7898,1.7933,1.7619,1.7705
2020-07-24,1.7718,1.7731,1.7557,1.7686
2020-07-27,1.767,1.7904,1.7669,1.7782
2020-07-28,1.7773,1.7891,1.7643,1.7666
2020-07-29,1.7683,1.7882,1.7625,1.7705
2020-07-30,1.7708,1.7717,1.7327,1.7481
2020-07-31,1.7404,1.7595,1.7161,1.7263
2020-08-03,1.7231,1.7238,1.6938,1.709
2020-08-04,1.7095,1.7186,1.6798,1.6932
2020-08-05,1.6844,1.7111,1.6839,1.6939
2020-08-06,1.6941,1.7039,1.6642,1.688
2020-08-07,1.6843,1.6893,1.6657,1.6683
2020-08-10,1.6726,1.6727,1.6542,1.6583
2020-08-11,1.6579,1.6886,1.6565,1.6795
2020-08-12,1.6787,1.6968,1.6742,1.6785
2020-08-13,1.6776,1.6959,1.6776,1.6843
2020-08-14,1.6811,1.6977,1.6801,1.6901
2020-08-17,1.6947,1.6997,1.678,1.6822
2020-08-18,1.6817,1.7009,1.6762,1.6986
2020-08-19,1.6985,1.7156,1.695,1.7051
2020-08-20,1.6999,1.7134,1.6962,1.6997
2020-08-21,1.7027,1.722,1.6974,1.7159
2020-08-24,1.715,1.7414,1.7141,1.7284
2020-08-25,1.7301,1.7594,1.7301,1.7421
2020-08-26,1.7429,1.7549,1.7292,1.7381
2020-08-27,1.7378,1.7464,1.7173,1.7192
2020-08-28,1.7193,1.7737,1.7193,1.7712
2020-08-31,1.7726,1.7765,1.7272,1.7298
2020-09-01,1.729,1.7738,1.729,1.7627
2020-09-02,1.7616,1.7698,1.7346,1.7432
2020-09-03,1.7426,1.7641,1.7395,1.749
2020-09-04,1.7468,1.7745,1.7449,1.7672
2020-09-07,1.7693,1.7712,1.7471,1.7512
2020-09-08,1.7521,1.757,1.7209,1.7234
2020-09-09,1.7269,1.7674,1.7201,1.7651
2020-09-10,1.7623,1.7664,1.7298,1.7323
2020-09-11,1.7348,1.7547,1.7294,1.7522
2020-09-14,1.753,1.763,1.7489,1.7551
2020-09-15,1.7545,1.7834,1.7512,1.7747
2020-09-16,1.7803,1.8055,1.7708,1.7932
2020-09-17,1.7893,1.8062,1.7725,1.797
2020-09-18,1.8019,1.8078,1.7718,1.7783
2020-09-21,1.7809,1.785,1.7128,1.7279
2020-09-22,1.7276,1.7563,1.7152,1.7317
2020-09-23,1.7288,1.7344,1.7042,1.707
2020-09-24,1.7041,1.736,1.6993,1.729
2020-09-25,1.7297,1.7394,1.7003,1.7105
2020-09-28,1.7118,1.7147,1.691,1.704
2020-09-29,1.7072,1.7205,1.6888,1.7097
2020-09-30,1.7085,1.738,1.7043,1.731
2020-10-01,1.7238,1.7481,1.7226,1.7408
2020-10-02,1.741,1.7606,1.7255,1.7481
2020-10-05,1.7531,1.7634,1.7307,1.7343
2020-10-06,1.7313,1.749,1.7196,1.7233
2020-10-07,1.7228,1.7355,1.7163,1.7248
2020-10-08,1.7242,1.7339,1.7202,1.7209
2020-10-09,1.7209,1.7454,1.7209,1.7404
2020-10-12,1.7357,1.7411,1.7273,1.7273
2020-10-13,1.7284,1.7508,1.7247,1.7508
2020-10-14,1.7508,1.7546,1.7313,1.7364
2020-10-15,1.7392,1.7417,1.7203,1.7272
