Close,Max_14,Min_14,Max_50,Min_50,Max_90,Min_90,MA_50,MA_200,MACD,ATR,Pivot_Points,Bearish_Candlestick_Patterns,buy,sell,Return_Since_Last_Buy,Days_Since_Last_Buy
4.4345,4.4345,4.3164,4.4345,4.3013,4.4345,4.2909,4.349036,,0.02530343355140463,4.38945,4.4345,4.4325,0,1,0.02736076359929573,16
4.4233,4.4345,4.3164,4.4345,4.3075,4.4345,4.2909,4.351476,,0.024893994309387324,4.396728571428571,4.4345,4.4233,0,0,0.024766008710962944,17
4.4165,4.4345,4.3655,4.4345,4.3075,4.4345,4.2909,4.353488,,0.02374706619317024,4.403878571428572,4.4345,4.4165,0,0,0.023190621814475097,20
4.4118,4.4345,4.3686,4.4345,4.3075,4.4345,4.2909,4.355456,,0.022202925176838306,4.407185714285714,4.4233,4.4118,0,0,0.022101751459549762,21
4.4224,4.4345,4.3686,4.4345,4.3075,4.4345,4.2909,4.357486,,0.021585687341514337,4.411021428571429,4.4224,4.4118,0,0,0.024557501621721777,22
4.4182,4.4345,4.371,4.4345,4.3075,4.4345,4.2909,4.3594599999999994,,0.02052106297091516,4.4145642857142855,4.4224,4.4118,0,0,0.023584468538596956,23
4.4255,4.4345,4.3826,4.4345,4.3075,4.4345,4.2909,4.361584,,0.020035433472914477,4.418457142857142,4.4255,4.4182,0,1,0.025275692706885518,24
4.4319,4.4345,4.3833,4.4345,4.3075,4.4345,4.2909,4.363784,,0.019937171803849907,4.421978571428572,4.4319,4.4182,0,1,0.026758409785932708,27
4.4482,4.4482,4.4118,4.4482,4.3075,4.4482,4.2909,4.366186,,0.020933266828897068,4.426614285714286,4.4482,4.4255,0,1,0.030534704846631486,28
4.4511,4.4511,4.4118,4.4511,4.3075,4.4511,4.2909,4.3687819999999995,,0.021706466443063732,4.429371428571429,4.4511,4.4319,0,1,0.0312065610230749,29
4.4657,4.4657,4.4118,4.4657,4.3075,4.4657,4.2909,4.371616,,0.023229554842275846,4.432007142857143,4.4657,4.4482,0,1,0.03458900935965161,30
4.4331,4.4657,4.4118,4.4657,4.3075,4.4657,4.2909,4.373582,,0.021557563646874556,4.431978571428571,4.4657,4.4331,0,1,0.027036419238254058,31
4.4368,4.4657,4.4118,4.4657,4.3075,4.4657,4.2909,4.3758799999999995,,0.02029708548925946,4.432285714285714,4.4657,4.4331,0,1,0.02789361504957837,34
4.4421,4.4657,4.4118,4.4657,4.3075,4.4657,4.2909,4.3784,,0.01950101758241818,4.432935714285714,4.4421,4.4331,0,1,0.02912149013066448,35
4.4318,4.4657,4.4118,4.4657,4.3075,4.4657,4.2909,4.380738,,0.017833431415151146,4.432742857142857,4.4421,4.4318,0,1,0.026735242331572647,36
4.4359,4.4657,4.4118,4.4657,4.3142,4.4657,4.2909,4.383306,,0.016650753575667032,4.433642857142858,4.4421,4.4318,0,1,0.027685107960337407,37
4.4387,4.4657,4.4118,4.4657,4.3164,4.4657,4.2909,4.385796,,0.015757763774638,4.4352285714285715,4.4387,4.4318,0,1,0.028333796682420555,38
4.4148,4.4657,4.4148,4.4657,4.3164,4.4657,4.2909,4.387462,,0.012971999528537559,4.435442857142857,4.4387,4.4148,0,0,0.022796775090353032,41
4.421,4.4657,4.4148,4.4657,4.3164,4.4657,4.2909,4.388714,,0.01113617854337523,4.4353428571428575,4.4387,4.4148,0,0,0.024233157260680305,42
4.4292,4.4657,4.4148,4.4657,4.3164,4.4657,4.2909,4.39001,,0.010225080295247047,4.436128571428571,4.4292,4.4148,0,1,0.026132888518209624,43
4.4199,4.4657,4.4148,4.4657,4.3164,4.4657,4.2909,4.391486,,0.008652851408021078,4.435728571428571,4.4292,4.4199,0,0,0.02397831526271902,44
4.4212,4.4657,4.4148,4.4657,4.3164,4.4657,4.2909,4.392694,,0.007426143859248668,4.434964285714286,4.4292,4.4199,0,0,0.024279492169400427,45
4.4258,4.4657,4.4148,4.4657,4.3164,4.4657,4.2909,4.394386,,0.006747371348281739,4.433364285714286,4.4258,4.4199,0,1,0.0253451950699657,48
4.429,4.4657,4.4148,4.4657,4.3164,4.4657,4.2909,4.396168,,0.006393947057943272,4.431785714285715,4.429,4.4212,0,1,0.026086553609489502,49
4.4521,4.4521,4.4148,4.4657,4.3164,4.4657,4.2909,4.398210000000001,,0.00788691723436763,4.430814285714286,4.4521,4.4258,0,1,0.031438235566675916,50
4.4532,4.4532,4.4148,4.4657,4.3164,4.4657,4.2909,4.400098000000001,,0.009054493102114591,4.43225,4.4532,4.429,0,1,0.031693077564637205,51
4.4489,4.4532,4.4148,4.4657,4.3164,4.4657,4.2909,4.402142,,0.009523055470268105,4.433114285714286,4.4532,4.4489,0,1,0.030696877027152323,52
4.4641,4.4641,4.4148,4.4657,4.3164,4.4657,4.2909,4.404572,,0.01099417350263554,4.434685714285714,4.4641,4.4489,0,1,0.034218330089889816,55
4.4631,4.4641,4.4148,4.4657,4.3164,4.4657,4.2909,4.407052,,0.011941697049332234,4.436921428571429,4.4641,4.4489,0,1,0.03398665554628859,56
4.4752,4.4752,4.4148,4.4752,4.3164,4.4752,4.2909,4.40977,,0.013513213252022815,4.439728571428572,4.4752,4.4631,0,1,0.03678991752386254,57
4.4751,4.4752,4.4148,4.4752,4.3164,4.4752,4.2909,4.41243,,0.014582484199976875,4.442328571428571,4.4752,4.4631,0,1,0.03676675006950248,58
4.4672,4.4752,4.4199,4.4752,4.3164,4.4752,4.2909,4.415258,,0.01462385050734838,4.446071428571428,4.4752,4.4672,0,1,0.03493652117505335,59
4.4655,4.4752,4.4199,4.4752,4.3164,4.4752,4.2909,4.417726,,0.014353993904778761,4.44925,4.4751,4.4655,0,1,0.03454267445093128,62
4.4698,4.4752,4.4199,4.4752,4.3164,4.4752,4.2909,4.420313999999999,,0.014322009456557261,4.4521500000000005,4.4698,4.4655,0,1,0.035538874988416375,63
4.4634,4.4752,4.4212,4.4752,4.3164,4.4752,4.2909,4.422774,,0.013623195322405302,4.4552571428571435,4.4698,4.4634,0,1,0.03405615790936898,64
4.469,4.4752,4.4258,4.4752,4.3164,4.4752,4.3013,4.424994,,0.01336716492872636,4.458671428571429,4.4698,4.4634,0,1,0.03535353535353548,65
4.4663,4.4752,4.429,4.4752,4.3164,4.4752,4.3013,4.427582,,0.012798854336200094,4.461564285714286,4.469,4.4634,0,1,0.034728014085812386,66
4.468,4.4752,4.4489,4.4752,4.3164,4.4752,4.3013,4.430514,,0.012343353395204204,4.4643500000000005,4.469,4.4663,0,1,0.03512186080993425,69
4.4748,4.4752,4.4489,4.4752,4.3655,4.4752,4.3013,4.433682,,0.012388264585077025,4.465971428571429,4.4748,4.4663,0,1,0.0366972477064221,70
4.4748,4.4752,4.4489,4.4752,4.3686,4.4752,4.3013,4.435868,,0.012282274610361021,4.4675142857142855,4.4748,4.468,0,1,0.0366972477064221,71
4.4659,4.4752,4.4631,4.4752,4.3686,4.4752,4.3013,4.437812,,0.01134929358047998,4.468728571428572,4.4748,4.4659,0,1,0.03463534426837194,72
4.4665,4.4752,4.4631,4.4752,4.371,4.4752,4.3075,4.43977,,0.010536852106008965,4.4689000000000005,4.4748,4.4659,0,1,0.03477434899453251,73
4.464,4.4752,4.4634,4.4752,4.3826,4.4752,4.3075,4.44163,,0.009580815599161241,4.468964285714286,4.4665,4.464,0,1,0.034195162635529755,76
4.4544,4.4751,4.4544,4.4752,4.3833,4.4752,4.3075,4.443066,,0.007956789098363615,4.467478571428571,4.4665,4.4544,0,1,0.031971087016958555,77
4.4616,4.4748,4.4544,4.4752,4.4118,4.4752,4.3075,4.444632,,0.007168086978385446,4.466514285714285,4.464,4.4544,0,1,0.03363914373088685,78
4.4758,4.4758,4.4544,4.4758,4.4118,4.4758,4.3075,4.445898,,0.007601233898876458,4.467128571428572,4.4758,4.4544,0,1,0.036928922250023116,79
4.4642,4.4758,4.4544,4.4758,4.4118,4.4758,4.3075,4.446606,,0.006928614148276502,4.467035714285714,4.4758,4.4616,0,1,0.03424149754424988,80
4.4627,4.4758,4.4544,4.4758,4.4118,4.4758,4.3075,4.447190000000001,,0.006203016176742793,4.466528571428571,4.4758,4.4627,0,1,0.033893985728848136,83
4.46,4.4758,4.4544,4.4758,4.4118,4.4758,4.3075,4.44774,,0.005348453479083304,4.466285714285714,4.4642,4.46,0,1,0.03326846446112505,84
4.461,4.4758,4.4544,4.4758,4.4118,4.4758,4.3075,4.448300000000001,4.387214,0.004697745342978621,4.465714285714285,4.4627,4.46,0,1,0.03350013900472628,85
